Exhaust,Supply,Return,Outside
-20.2,17.6,23.4,9
-23.1,15,23.2,2.4
-23.6,13,23.1,-1.3
-24.1,12.1,23.1,-2.9
-24.9,11.5,23,-3.9
-24.2,11.1,22.9,-4.4
-25.2,10.9,22.9,-4.6
-25,10.7,22.9,-5
-24.8,10.6,22.8,-5.1
-25.3,10.5,22.8,-5.3
-24.7,10.4,22.8,-5.5
-25.5,10.4,22.7,-5.6
-25,10.3,22.7,-5.8
-25,10.3,22.7,-5.8
-25.4,10.2,22.7,-6
-24.7,10.2,22.7,-6.1
-25.5,10.2,22.6,-6.1
-24.9,10.1,22.7,-6.2
-25.2,10.2,22.7,-6.1
-25.6,10,22.7,-6.4
-24.7,10,22.6,-6.3
-25.5,10.1,22.7,-6.3
-25.2,10,22.6,-6.5
-25,10,22.6,-6.4
-25.7,10,22.7,-6.5
-24.7,9.9,22.6,-6.6
-25.3,9.9,22.6,-6.5
-25.6,9.9,22.6,-6.7
-25,9.9,22.6,-6.6
-25.6,9.9,22.7,-6.6
-24.8,9.8,22.6,-6.7
-25.3,9.9,22.6,-6.6
-25.3,9.8,22.6,-6.7
-25.2,9.8,22.6,-6.7
-25.6,9.8,22.6,-6.8
-10.1,10.2,22.7,-4.5
-4.1,12.8,23,0.3
0.3,15.2,23.3,3.9
3.5,17,23.4,9.6
7.1,18.3,23.5,13.2
6.6,19.1,23.5,15.1
7.8,19.6,23.5,16.1
9.6,20,23.4,16.6
9.5,20.4,23.5,17.1
9.8,20.6,23.6,17.3
-6.9,20.5,23.1,14.3
-20.9,18.1,23,6.3
-23.9,15.8,22.9,2.5
-24.1,14.5,22.9,0.6
-24.2,13.8,22.9,-0.3
-25.6,13.3,22.8,-1.3
-24.6,12.8,22.4,-2
-25.1,12.4,22,-2.4
-25.4,11.8,21.6,-3.2
-24.6,11.3,21.3,-3.7
-24.2,11.3,20.8,-3.6
-18.5,13,19.3,1.3
-15,14.4,18.7,4.9
-13,15.3,18,7.6
-10.9,15.8,17.6,10
-9.6,16.8,17.8,12
-7.7,17,17.5,13.7
-6.9,17.9,17.6,15.1
-4.2,18,18,16.3
-0.7,13,22.2,11.8
-0.5,13.9,22.7,9.9
0.1,14.9,22.9,10.1
1.4,15.7,23,10.8
1.7,16.4,23.1,11.6
0.6,16.8,23.2,12.2
1.8,17.1,23.3,12.6
-16.8,16.8,23.2,8.6
-20.3,15,23.2,3.5
-21.6,13.8,23.1,0.9
